city,state,skill,experience,demand_index,cost_of_living,wage
Pune,Maharashtra,Mason,8,0.84,15824,1533.48
Bangalore,Karnataka,Mason,1,1.26,9827,1087.54
Pune,Maharashtra,Painter,11,1.04,10694,1653.88
Delhi,Delhi,Painter,11,0.82,16232,1664.64
Hyderabad,Telangana,Electrician,5,1.12,17564,1526.28
Bangalore,Karnataka,Painter,14,0.63,10874,1753.98
Bangalore,Karnataka,Mason,11,1.46,15712,1622.24
Delhi,Delhi,Electrician,12,1.21,18697,1901.44
Bangalore,Karnataka,Mason,15,1.14,12304,1648.08
Bangalore,Karnataka,Painter,4,1.34,18049,1302.98
Pune,Maharashtra,Mason,8,1.44,15567,1723.34
Pune,Maharashtra,Mason,13,1.09,9826,1642.02
Hyderabad,Telangana,Painter,8,0.56,17239,1305.78
Delhi,Delhi,Painter,5,1.24,10255,1377.1
Chennai,Tamil Nadu,Painter,9,0.94,15783,1518.66
Pune,Maharashtra,Mason,7,1.49,17040,1485.3
Hyderabad,Telangana,Carpenter,15,1.3,8517,1730.34
Delhi,Delhi,Carpenter,2,1.03,10235,1114.2
Delhi,Delhi,Electrician,9,0.62,13534,1459.68
Chennai,Tamil Nadu,Painter,6,1.21,8343,1179.36
Hyderabad,Telangana,Carpenter,8,0.72,12071,1423.42
Hyderabad,Telangana,Painter,8,1.13,12422,1543.94
Chennai,Tamil Nadu,Mason,8,1.09,11488,1311.26
Chennai,Tamil Nadu,Carpenter,7,0.71,19800,1585.5
Chennai,Tamil Nadu,Carpenter,6,1.25,17295,1364.4
Bangalore,Karnataka,Carpenter,1,1.06,11296,976.92
Delhi,Delhi,Painter,9,1.33,12612,1590.74
Bangalore,Karnataka,Mason,11,0.51,17686,1455.22
Bangalore,Karnataka,Mason,11,0.76,10111,1589.22
Chennai,Tamil Nadu,Mason,10,0.65,18323,1696.96
Bangalore,Karnataka,Painter,4,1.23,15283,1333.16
Chennai,Tamil Nadu,Mason,8,0.8,10850,1166.0
Delhi,Delhi,Mason,6,1.27,14940,1197.3
Delhi,Delhi,Painter,1,0.51,12469,1005.88
Delhi,Delhi,Electrician,10,1.01,8170,1392.9
Chennai,Tamil Nadu,Painter,11,1.37,10554,1774.58
Hyderabad,Telangana,Mason,10,1.09,19902,1672.54
Pune,Maharashtra,Electrician,13,0.91,9104,1662.58
Chennai,Tamil Nadu,Mason,6,0.58,12520,1016.4
Hyderabad,Telangana,Mason,10,1.47,14574,1780.98
Delhi,Delhi,Electrician,15,0.93,17642,1791.34
Chennai,Tamil Nadu,Carpenter,12,0.64,18621,1704.42
Pune,Maharashtra,Carpenter,4,1.13,11503,1030.56
Bangalore,Karnataka,Carpenter,11,1.49,17928,1953.06
Delhi,Delhi,Electrician,9,0.66,15423,1452.46
Delhi,Delhi,Painter,14,0.62,12451,1596.02
Bangalore,Karnataka,Mason,8,0.7,13073,1397.46
Bangalore,Karnataka,Carpenter,11,0.72,18100,1651.0
Hyderabad,Telangana,Electrician,9,1.33,13864,1496.78
Chennai,Tamil Nadu,Mason,1,0.84,17079,863.58
Pune,Maharashtra,Carpenter,2,1.29,11933,1230.16
Bangalore,Karnataka,Carpenter,3,0.94,19163,1101.26
Pune,Maharashtra,Painter,7,1.4,8930,1169.6
Pune,Maharashtra,Electrician,9,1.36,13919,1623.38
Pune,Maharashtra,Carpenter,3,1.16,17703,1259.06
Bangalore,Karnataka,Mason,1,1.07,16706,966.62
Hyderabad,Telangana,Painter,8,0.9,18394,1671.88
Delhi,Delhi,Carpenter,2,1.04,12191,998.82
Pune,Maharashtra,Carpenter,13,0.62,18441,1693.82
Delhi,Delhi,Painter,11,0.82,10703,1565.06
Bangalore,Karnataka,Mason,13,1.26,16164,1660.28
Bangalore,Karnataka,Electrician,14,1.25,8598,1615.46
Hyderabad,Telangana,Painter,10,1.08,18759,1481.18
Chennai,Tamil Nadu,Mason,6,1.45,8547,1188.44
Chennai,Tamil Nadu,Mason,11,0.58,10002,1356.04
Delhi,Delhi,Painter,15,0.75,18983,1792.16
Chennai,Tamil Nadu,Mason,15,1.02,13858,1940.16
Chennai,Tamil Nadu,Mason,15,1.43,19941,1914.32
Chennai,Tamil Nadu,Carpenter,6,1.4,15097,1471.94
Bangalore,Karnataka,Painter,7,0.71,11073,1167.96
Chennai,Tamil Nadu,Carpenter,6,0.84,19483,1317.66
Bangalore,Karnataka,Painter,15,0.78,13387,1824.74
Chennai,Tamil Nadu,Mason,2,0.85,17230,1059.1
Bangalore,Karnataka,Carpenter,7,0.52,11280,1225.6
Chennai,Tamil Nadu,Painter,12,0.83,18899,1600.48
Pune,Maharashtra,Painter,2,0.67,8781,964.12
Pune,Maharashtra,Electrician,6,1.11,16800,1407.5
Hyderabad,Telangana,Electrician,1,0.93,18230,1075.1
Pune,Maharashtra,Electrician,8,1.4,18620,1446.4
Delhi,Delhi,Electrician,12,1.47,10500,1797.5
Hyderabad,Telangana,Mason,9,0.72,10036,1203.72
Chennai,Tamil Nadu,Mason,13,0.76,16059,1605.18
Bangalore,Karnataka,Mason,1,0.51,16249,909.48
Chennai,Tamil Nadu,Electrician,5,0.64,19711,1157.22
Delhi,Delhi,Mason,12,1.0,9253,1514.06
Bangalore,Karnataka,Painter,9,1.49,10949,1596.48
Hyderabad,Telangana,Painter,11,1.35,15671,1614.92
Pune,Maharashtra,Painter,5,0.51,15868,1107.86
Pune,Maharashtra,Electrician,1,1.1,19877,1292.54
Hyderabad,Telangana,Carpenter,4,0.94,10737,922.74
Hyderabad,Telangana,Mason,9,0.77,10787,1283.24
Pune,Maharashtra,Carpenter,14,1.43,10023,1878.96
Hyderabad,Telangana,Mason,4,1.37,16834,1160.18
Pune,Maharashtra,Carpenter,2,1.03,18606,1258.62
Pune,Maharashtra,Mason,6,1.12,16488,1447.76
Hyderabad,Telangana,Painter,2,0.7,8583,1038.66
Hyderabad,Telangana,Mason,6,1.12,15181,1165.62
Chennai,Tamil Nadu,Carpenter,5,1.12,17066,1378.32
Pune,Maharashtra,Carpenter,10,0.86,14661,1552.22
Delhi,Delhi,Carpenter,9,0.5,17475,1467.5
Bangalore,Karnataka,Painter,11,0.72,13126,1699.52
Pune,Maharashtra,Painter,4,0.77,14407,967.64
Bangalore,Karnataka,Painter,13,0.72,10534,1716.68
Delhi,Delhi,Painter,9,0.76,12751,1319.02
Chennai,Tamil Nadu,Painter,2,0.93,11763,1174.76
Delhi,Delhi,Mason,2,1.41,19891,1118.32
Pune,Maharashtra,Painter,3,0.66,15571,1099.42
Chennai,Tamil Nadu,Carpenter,9,1.36,9742,1412.84
Hyderabad,Telangana,Painter,4,1.43,18279,1306.08
Delhi,Delhi,Painter,15,0.58,8493,1613.86
Pune,Maharashtra,Carpenter,2,1.14,18333,1365.66
Hyderabad,Telangana,Mason,5,1.0,15938,1243.76
Bangalore,Karnataka,Electrician,7,0.53,19991,1518.32
Bangalore,Karnataka,Painter,4,1.11,15036,1075.22
Chennai,Tamil Nadu,Electrician,11,0.96,17672,1532.44
Delhi,Delhi,Electrician,12,1.2,17804,1795.08
Chennai,Tamil Nadu,Electrician,3,1.07,9131,868.12
Chennai,Tamil Nadu,Electrician,15,1.21,10288,1741.26
Pune,Maharashtra,Electrician,9,1.39,19247,1639.44
Bangalore,Karnataka,Mason,4,0.57,13484,1086.18
Bangalore,Karnataka,Painter,11,0.63,18848,1519.46
Pune,Maharashtra,Mason,1,1.44,19348,1381.96
Bangalore,Karnataka,Carpenter,6,1.22,19694,1461.88
Chennai,Tamil Nadu,Electrician,8,0.6,16002,1301.04
Bangalore,Karnataka,Mason,6,0.92,11963,1366.26
Bangalore,Karnataka,Mason,6,0.74,12234,1229.68
Bangalore,Karnataka,Electrician,13,0.56,15441,1605.82
Delhi,Delhi,Electrician,12,1.45,14093,1892.36
Chennai,Tamil Nadu,Mason,5,1.26,19221,1347.42
Delhi,Delhi,Electrician,9,1.36,17123,1545.46
Delhi,Delhi,Electrician,3,1.33,17223,1208.96
Delhi,Delhi,Carpenter,12,1.27,18723,1669.96
Delhi,Delhi,Electrician,9,1.46,16617,1790.34
Chennai,Tamil Nadu,Painter,13,1.19,11881,1698.12
Hyderabad,Telangana,Mason,7,1.15,13793,1568.36
Chennai,Tamil Nadu,Painter,7,1.11,9527,1187.04
Chennai,Tamil Nadu,Carpenter,12,0.72,19463,1824.26
Hyderabad,Telangana,Painter,7,1.15,17698,1508.46
Pune,Maharashtra,Mason,8,1.05,9331,1490.12
Pune,Maharashtra,Electrician,6,0.8,15358,1209.16
Bangalore,Karnataka,Electrician,6,1.01,18037,1185.24
Hyderabad,Telangana,Painter,15,0.91,17145,1834.4
Bangalore,Karnataka,Electrician,14,1.26,15718,1761.36
Pune,Maharashtra,Mason,9,0.94,9669,1173.38
Hyderabad,Telangana,Carpenter,7,0.96,16342,1319.84
Pune,Maharashtra,Mason,3,0.61,17250,1248.5
Pune,Maharashtra,Electrician,2,1.42,10313,989.26
Pune,Maharashtra,Electrician,6,0.99,9617,1199.84
Chennai,Tamil Nadu,Mason,10,1.06,12961,1380.22
Pune,Maharashtra,Painter,13,0.94,9209,1517.18
Pune,Maharashtra,Electrician,9,1.46,14871,1560.42
Chennai,Tamil Nadu,Mason,14,0.92,12610,1850.2
Bangalore,Karnataka,Painter,4,1.12,15357,1129.14
Delhi,Delhi,Electrician,5,0.86,16700,1109.0
Hyderabad,Telangana,Painter,1,0.76,13333,1040.66
Chennai,Tamil Nadu,Electrician,3,0.89,11489,1141.28
Bangalore,Karnataka,Carpenter,1,0.86,9142,747.84
Bangalore,Karnataka,Mason,10,1.38,9920,1616.4
Delhi,Delhi,Carpenter,14,0.95,17460,1784.7
Pune,Maharashtra,Mason,14,0.64,14308,1540.16
Pune,Maharashtra,Electrician,8,1.11,13031,1486.12
Pune,Maharashtra,Electrician,13,1.32,15492,1761.84
Delhi,Delhi,Mason,4,0.99,11171,1043.92
Delhi,Delhi,Painter,8,0.94,15837,1560.74
Delhi,Delhi,Carpenter,9,1.18,12812,1433.24
Chennai,Tamil Nadu,Carpenter,12,0.67,11271,1351.92
Chennai,Tamil Nadu,Mason,11,1.34,17990,1840.8
Pune,Maharashtra,Painter,2,1.41,16099,1222.48
Delhi,Delhi,Painter,12,1.45,12245,1917.4
Pune,Maharashtra,Mason,9,1.37,10554,1431.58
Delhi,Delhi,Mason,9,0.72,16162,1304.24
Pune,Maharashtra,Painter,11,0.56,16257,1659.14
Bangalore,Karnataka,Electrician,6,1.09,17784,1505.18
Chennai,Tamil Nadu,Electrician,2,0.5,8045,875.9
Hyderabad,Telangana,Mason,11,1.35,12947,1663.44
Chennai,Tamil Nadu,Painter,11,0.75,9656,1476.62
Hyderabad,Telangana,Painter,11,1.15,12710,1766.7
Bangalore,Karnataka,Mason,10,0.84,10678,1599.56
Delhi,Delhi,Mason,5,1.22,15869,1522.38
Chennai,Tamil Nadu,Carpenter,7,1.41,13954,1583.58
Delhi,Delhi,Electrician,9,1.38,17268,1766.36
Hyderabad,Telangana,Electrician,5,0.67,17325,1163.0
Chennai,Tamil Nadu,Mason,6,0.54,11093,991.86
Hyderabad,Telangana,Painter,12,1.04,15980,1896.6
Bangalore,Karnataka,Painter,8,1.09,11107,1292.64
Bangalore,Karnataka,Electrician,13,1.24,16440,2007.8
Delhi,Delhi,Carpenter,15,0.84,17477,2011.54
Hyderabad,Telangana,Painter,15,0.66,15807,1905.14
Chennai,Tamil Nadu,Carpenter,6,0.64,15915,1192.3
Pune,Maharashtra,Painter,10,0.93,19498,1504.46
Chennai,Tamil Nadu,Carpenter,10,0.72,19085,1583.7
Bangalore,Karnataka,Mason,7,0.84,10929,1105.58
Delhi,Delhi,Painter,3,1.11,18733,1226.16
Delhi,Delhi,Electrician,7,1.09,10170,1454.9
Bangalore,Karnataka,Mason,5,0.94,10581,1287.62
Delhi,Delhi,Mason,11,1.36,15253,1729.06
Bangalore,Karnataka,Electrician,5,1.38,15833,1248.66
Chennai,Tamil Nadu,Carpenter,3,0.53,11789,823.28
Hyderabad,Telangana,Mason,2,0.77,8337,755.24
Pune,Maharashtra,Painter,3,0.88,11053,989.06
Delhi,Delhi,Carpenter,5,0.52,9406,905.12
Delhi,Delhi,Mason,9,0.83,18458,1466.66
Delhi,Delhi,Painter,9,1.08,12669,1288.38
Pune,Maharashtra,Painter,2,1.13,12469,1155.88
Pune,Maharashtra,Carpenter,1,1.33,13663,879.76
Chennai,Tamil Nadu,Electrician,15,0.93,13285,1883.2
Pune,Maharashtra,Mason,12,0.74,15056,1533.12
Bangalore,Karnataka,Mason,3,0.9,10428,1040.56
Hyderabad,Telangana,Electrician,3,1.13,17497,1372.44
Hyderabad,Telangana,Mason,5,0.62,11619,1279.38
Chennai,Tamil Nadu,Mason,14,1.39,14338,1789.26
Chennai,Tamil Nadu,Painter,7,1.03,19515,1601.8
Bangalore,Karnataka,Carpenter,15,1.44,13713,2114.26
Chennai,Tamil Nadu,Electrician,1,0.96,18502,967.04
Hyderabad,Telangana,Electrician,8,0.95,12445,1245.4
Delhi,Delhi,Carpenter,11,1.2,18456,1553.12
Pune,Maharashtra,Electrician,12,0.87,19308,1527.66
Pune,Maharashtra,Carpenter,14,0.52,11820,1671.4
Hyderabad,Telangana,Carpenter,14,0.79,10594,1592.38
Pune,Maharashtra,Painter,11,0.88,19624,1595.48
Hyderabad,Telangana,Carpenter,15,0.97,8483,1698.16
Delhi,Delhi,Electrician,5,0.64,9411,967.22
Pune,Maharashtra,Electrician,4,0.69,10498,1170.46
Hyderabad,Telangana,Electrician,9,0.82,9387,1411.74
Chennai,Tamil Nadu,Mason,9,0.98,11917,1366.34
Chennai,Tamil Nadu,Electrician,7,0.93,13452,1177.54
Delhi,Delhi,Carpenter,5,1.43,9089,1060.28
Bangalore,Karnataka,Mason,5,0.93,12799,1334.48
Hyderabad,Telangana,Carpenter,9,0.99,19277,1726.04
Bangalore,Karnataka,Carpenter,6,1.36,12054,1296.08
Bangalore,Karnataka,Electrician,9,1.1,8285,1460.7
Pune,Maharashtra,Electrician,15,1.42,17990,1926.8
Pune,Maharashtra,Painter,14,0.82,9477,1513.54
Bangalore,Karnataka,Painter,9,1.25,13500,1586.5
Chennai,Tamil Nadu,Electrician,13,0.52,12587,1716.74
Hyderabad,Telangana,Carpenter,2,0.98,9255,858.1
Hyderabad,Telangana,Electrician,7,1.17,19333,1305.16
Hyderabad,Telangana,Carpenter,5,0.52,13685,1285.7
Delhi,Delhi,Carpenter,10,0.88,12461,1274.22
Chennai,Tamil Nadu,Mason,2,1.41,14696,1136.42
Pune,Maharashtra,Painter,9,0.61,16479,1532.08
Bangalore,Karnataka,Carpenter,14,0.78,15501,1585.02
Hyderabad,Telangana,Carpenter,2,0.95,10080,947.1
Bangalore,Karnataka,Mason,1,1.37,9368,934.86
Chennai,Tamil Nadu,Mason,7,0.89,9501,1286.52
Bangalore,Karnataka,Painter,4,0.9,10676,1021.52
Pune,Maharashtra,Mason,2,0.95,14133,936.16
Hyderabad,Telangana,Electrician,2,1.44,19608,1132.16
Chennai,Tamil Nadu,Electrician,15,0.81,12418,1756.86
Bangalore,Karnataka,Carpenter,13,1.41,19015,1730.8
Bangalore,Karnataka,Electrician,1,1.34,10910,951.2
Chennai,Tamil Nadu,Carpenter,10,0.64,12420,1344.4
Hyderabad,Telangana,Mason,2,0.89,14704,939.58
Bangalore,Karnataka,Carpenter,12,1.18,10676,1659.52
Hyderabad,Telangana,Electrician,1,1.38,16659,1153.18
Chennai,Tamil Nadu,Mason,8,1.41,13725,1317.0
Chennai,Tamil Nadu,Mason,3,1.41,13061,1115.72
Hyderabad,Telangana,Carpenter,11,1.34,12001,1726.02
Bangalore,Karnataka,Carpenter,9,0.87,10732,1394.14
Chennai,Tamil Nadu,Electrician,10,1.48,17472,1538.44
Chennai,Tamil Nadu,Mason,4,1.37,14136,1133.22
Hyderabad,Telangana,Electrician,4,1.35,16264,1414.78
Delhi,Delhi,Carpenter,6,1.42,11791,1276.82
Delhi,Delhi,Painter,1,1.2,18448,1223.96
Pune,Maharashtra,Electrician,10,1.46,16896,1630.92
Chennai,Tamil Nadu,Painter,13,1.22,17888,1764.76
Pune,Maharashtra,Carpenter,12,0.57,14602,1733.54
Bangalore,Karnataka,Mason,1,1.41,14301,1128.52
Delhi,Delhi,Painter,10,1.09,15294,1444.38
Pune,Maharashtra,Painter,2,0.74,14827,1015.54
Delhi,Delhi,Carpenter,3,0.71,10284,864.18
Chennai,Tamil Nadu,Painter,11,1.35,18010,1583.7
Bangalore,Karnataka,Electrician,2,0.67,10540,1028.3
Bangalore,Karnataka,Carpenter,10,1.38,16316,1500.32
Delhi,Delhi,Painter,6,0.62,15837,1110.74
Chennai,Tamil Nadu,Carpenter,4,0.62,15587,1167.74
Pune,Maharashtra,Electrician,4,1.46,9793,1112.86
Delhi,Delhi,Mason,10,0.9,11217,1369.34
Pune,Maharashtra,Electrician,3,1.18,15360,1029.2
Delhi,Delhi,Electrician,7,1.32,19102,1532.04
Hyderabad,Telangana,Painter,4,0.89,18437,1228.24
Pune,Maharashtra,Electrician,14,0.68,10765,1730.3
Hyderabad,Telangana,Electrician,13,0.68,19499,1696.98
Chennai,Tamil Nadu,Carpenter,1,0.58,19947,956.94
Delhi,Delhi,Mason,7,0.58,11269,1219.38
Chennai,Tamil Nadu,Painter,4,0.51,18059,1082.68
Pune,Maharashtra,Carpenter,7,1.15,11820,1445.9
Pune,Maharashtra,Carpenter,13,0.57,10612,1375.74
Bangalore,Karnataka,Electrician,14,0.98,19810,1940.2
Delhi,Delhi,Carpenter,7,0.81,15680,1172.1
Delhi,Delhi,Mason,10,1.19,10076,1527.02
Hyderabad,Telangana,Electrician,13,0.75,18321,1716.92
Delhi,Delhi,Electrician,5,1.19,11347,1141.44
Bangalore,Karnataka,Painter,8,0.84,11618,1481.36
Pune,Maharashtra,Mason,13,1.23,13522,1730.94
Hyderabad,Telangana,Mason,8,0.77,12450,1396.5
Hyderabad,Telangana,Painter,4,1.48,15004,1483.08
Bangalore,Karnataka,Painter,10,1.22,16758,1813.16
Pune,Maharashtra,Painter,3,0.54,13688,1045.76
Pune,Maharashtra,Mason,8,1.11,16787,1318.24
Delhi,Delhi,Carpenter,10,1.32,10366,1558.32
Bangalore,Karnataka,Carpenter,4,1.31,9963,1126.76
Hyderabad,Telangana,Painter,4,0.6,8112,1038.24
Pune,Maharashtra,Mason,9,1.27,17182,1511.14
Hyderabad,Telangana,Mason,13,0.65,16873,1777.96
Chennai,Tamil Nadu,Painter,3,1.32,16685,1208.7
Hyderabad,Telangana,Painter,4,0.91,8696,991.42
Pune,Maharashtra,Mason,14,1.05,16961,1895.72
Bangalore,Karnataka,Electrician,14,0.75,13620,1861.9
Chennai,Tamil Nadu,Electrician,15,1.32,19718,1833.36
Pune,Maharashtra,Carpenter,12,0.67,19368,1871.86
Hyderabad,Telangana,Carpenter,12,0.95,15207,1579.64
Hyderabad,Telangana,Electrician,5,0.62,9152,992.04
Chennai,Tamil Nadu,Electrician,13,0.97,10532,1531.14
Hyderabad,Telangana,Carpenter,15,1.09,8260,1886.7
Bangalore,Karnataka,Painter,7,1.4,8236,1529.72
Delhi,Delhi,Carpenter,1,0.67,15723,960.96
Pune,Maharashtra,Electrician,11,1.05,10992,1542.34
Chennai,Tamil Nadu,Painter,11,1.25,16454,1663.58
Hyderabad,Telangana,Carpenter,10,1.18,10569,1450.38
Chennai,Tamil Nadu,Painter,6,1.46,13482,1307.64
Bangalore,Karnataka,Painter,1,0.67,19170,1079.9
Bangalore,Karnataka,Carpenter,9,0.83,17515,1679.8
Delhi,Delhi,Carpenter,12,0.65,12739,1668.28
Chennai,Tamil Nadu,Mason,7,0.59,19284,1239.18
Hyderabad,Telangana,Electrician,6,0.73,11603,1039.56
Chennai,Tamil Nadu,Painter,1,1.45,12832,1102.14
Pune,Maharashtra,Mason,9,1.16,14054,1381.08
Delhi,Delhi,Painter,11,0.9,14899,1715.98
Hyderabad,Telangana,Mason,2,0.69,11869,1062.88
Bangalore,Karnataka,Carpenter,1,0.82,15498,820.96
Bangalore,Karnataka,Electrician,15,1.03,9399,1781.48
Bangalore,Karnataka,Carpenter,12,1.1,16296,1576.92
Chennai,Tamil Nadu,Mason,2,1.03,15509,1118.68
Hyderabad,Telangana,Painter,6,0.88,13911,1076.22
Pune,Maharashtra,Mason,3,0.93,11844,862.38
Delhi,Delhi,Electrician,3,0.69,10559,834.68
Delhi,Delhi,Electrician,6,1.32,16005,1514.1
Hyderabad,Telangana,Electrician,12,1.01,19384,1849.18
Chennai,Tamil Nadu,Electrician,7,1.5,8656,1513.12
Pune,Maharashtra,Mason,4,0.81,19073,1157.96
Bangalore,Karnataka,Carpenter,9,0.55,17373,1527.96
Delhi,Delhi,Carpenter,9,0.54,13495,1395.9
Hyderabad,Telangana,Electrician,2,0.83,11212,795.74
Pune,Maharashtra,Electrician,2,1.06,13156,1071.12
Delhi,Delhi,Carpenter,10,1.13,14309,1488.68
Hyderabad,Telangana,Electrician,9,1.15,15298,1398.46
Chennai,Tamil Nadu,Electrician,5,0.52,13830,1032.6
Bangalore,Karnataka,Mason,12,0.64,19630,1625.6
Delhi,Delhi,Electrician,14,1.15,19176,2057.02
Pune,Maharashtra,Mason,14,0.55,14902,1853.54
Bangalore,Karnataka,Painter,9,0.6,8914,1121.28
Bangalore,Karnataka,Electrician,4,0.95,11544,1227.38
Hyderabad,Telangana,Painter,14,0.74,16709,1617.18
Chennai,Tamil Nadu,Carpenter,9,0.85,9048,1448.46
Hyderabad,Telangana,Electrician,13,0.65,18989,1847.28
Pune,Maharashtra,Painter,10,0.93,11577,1349.04
Hyderabad,Telangana,Mason,11,1.12,8835,1581.7
Bangalore,Karnataka,Painter,9,0.78,15539,1401.78
Hyderabad,Telangana,Electrician,6,0.83,13912,1290.74
Bangalore,Karnataka,Carpenter,4,1.36,16522,1345.44
Chennai,Tamil Nadu,Carpenter,14,0.53,13364,1594.78
Delhi,Delhi,Painter,5,0.83,12335,1184.2
Pune,Maharashtra,Mason,8,0.52,19428,1314.56
Chennai,Tamil Nadu,Mason,10,1.24,9161,1539.22
Pune,Maharashtra,Electrician,1,1.31,17825,1233.0
Chennai,Tamil Nadu,Painter,2,0.59,19692,941.34
Delhi,Delhi,Painter,6,0.67,8655,940.6
Hyderabad,Telangana,Mason,3,0.68,9530,1003.6
Pune,Maharashtra,Electrician,12,0.84,8917,1398.34
Delhi,Delhi,Electrician,1,1.02,13022,979.44
Bangalore,Karnataka,Painter,1,1.18,10000,830.0
Hyderabad,Telangana,Electrician,13,1.47,11100,1693.5
Hyderabad,Telangana,Electrician,1,1.07,9368,980.86
Hyderabad,Telangana,Painter,1,1.09,10255,973.6
Pune,Maharashtra,Carpenter,9,1.07,11121,1356.92
Pune,Maharashtra,Electrician,6,1.06,16327,1281.54
Delhi,Delhi,Painter,15,1.05,14691,1960.32
Delhi,Delhi,Mason,9,1.37,13451,1685.52
Delhi,Delhi,Mason,3,0.78,18365,1156.3
Pune,Maharashtra,Carpenter,5,0.62,9108,1210.16
Delhi,Delhi,Mason,6,1.16,11063,1318.26
Delhi,Delhi,Electrician,10,0.78,11105,1254.1
Delhi,Delhi,Electrician,4,0.55,9836,1014.22
